Interface,MDN Has Compabibility Data,MDN Page Exists,Expected URL
HTMLButtonElement.formEnctype,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/formEnctype
HTMLDataListElement.options,true,false,https://developer.mozilla.org/docs/Web/API/HTMLDataListElement/options
HTMLFieldSetElement.checkValidity,true,false,https://developer.mozilla.org/en-US/docs/Web/API/HTMLFieldSetElement/checkValidity
HTMLFieldSetElement.disabled,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFieldSetElement/disabled
HTMLFieldSetElement.form,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFieldSetElement/form
HTMLFieldSetElement.setCustomValidity,true,false,https://developer.mozilla.org/en-US/docs/Web/API/HTMLFieldSetElement/setCustomValidity
HTMLFieldSetElement.type,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFieldSetElement/type
HTMLFieldSetElement.validationMessage,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFieldSetElement/validationMessage
HTMLFieldSetElement.validity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFieldSetElement/validity
HTMLFieldSetElement.willValidate,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFieldSetElement/willValidate
HTMLFieldSetElement.elements,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFieldSetElement/elements
HTMLFieldSetElement.name,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFieldSetElement/name
HTMLFieldSetElement.reportValidity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFieldSetElement/reportValidity
HTMLFormElement.autocomplete,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFormElement/autocomplete
HTMLFormElement.checkValidity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFormElement/checkValidity
HTMLFormElement.noValidate,true,false,https://developer.mozilla.org/docs/Web/API/HTMLFormElement/noValidate
HTMLLegendElement.align,true,false,https://developer.mozilla.org/en-US/docs/Web/API/HTMLLegendElement/align
HTMLLegendElement.form,true,false,https://developer.mozilla.org/en-US/docs/Web/API/HTMLLegendElement/form
HTMLOptGroupElement.disabled,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptGroupElement/disabled
HTMLOptGroupElement.label,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptGroupElement/label
HTMLOptionElement.defaultSelected,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionElement/defaultSelected
HTMLOptionElement.label,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionElement/label
HTMLOptionElement.selected,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionElement/selected
HTMLOptionElement.text,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionElement/text
HTMLOptionElement.value,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionElement/value
HTMLOptionElement.form,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionElement/form
HTMLOptionElement.index,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionElement/index
HTMLOptionElement.disabled,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionElement/disabled
HTMLOptionsCollection.length,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionsCollection/length
HTMLOptionsCollection.add,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionsCollection/add
HTMLOptionsCollection.remove,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionsCollection/remove
HTMLOptionsCollection.selectedIndex,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOptionsCollection/selectedIndex
HTMLOutputElement.checkValidity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/checkValidity
HTMLOutputElement.name,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/name
HTMLOutputElement.reportValidity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/reportValidity
HTMLOutputElement.setCustomValidity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/setCustomValidity
HTMLOutputElement.htmlFor,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/htmlFor
HTMLOutputElement.validationMessage,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/validationMessage
HTMLOutputElement.validity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/validity
HTMLOutputElement.type,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/type
HTMLOutputElement.willValidate,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/willValidate
HTMLOutputElement.form,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/form
HTMLOutputElement.defaultValue,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/defaultValue
HTMLOutputElement.value,true,false,https://developer.mozilla.org/docs/Web/API/HTMLOutputElement/value
HTMLSelectElement.autocomplete,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/autocomplete
HTMLSelectElement.reportValidity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/reportValidity
HTMLSelectElement.required,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/required
HTMLSelectElement.size,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/size
HTMLSelectElement.validationMessage,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/validationMessage
HTMLSelectElement.name,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/name
HTMLSelectElement.value,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/value
HTMLSelectElement.willValidate,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/willValidate
HTMLSelectElement.length,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/length
HTMLSelectElement.validity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLSelectElement/validity
